DATA BROKER REMOVAL — MASTER TRACKER,,,,,,,,,,,,,,,,,,,,
ID,Broker / Site Name,Category,Priority Tier,Search URL,Opt-Out URL,Opt-Out Method,Difficulty,Est. Processing (Days),Also Covers (Subsidiaries),Parent Company,Notes / Special Instructions,STATUS,Date Submitted,Confirmation # / Ref,Verified Removed?,Date Verified,Re-Check Due Date,Data Found? (Y/N),Profile URL Found,Your Notes
1,BeenVerified,People Search,Tier 1 – Crucial,https://www.beenverified.com/,https://www.beenverified.com/app/optout/search,Online Form + Email Confirm,Easy,3,"PeopleLooker, PeopleSmart",PeopleConnect,Also opt out of property search at /app/optout/address-search. One opt-out per email.,Not Started,,,No,,,Not Checked,,
2,CheckPeople,People Search,Tier 1 – Crucial,https://checkpeople.com/privacy-rights,https://checkpeople.com/opt-out,Online Form,Easy,5,,,First request data copy under 'Right to Know'. Requires birthdate and full legal name.,Not Started,,,No,,,Not Checked,,
3,Clustal,People Search,Tier 1 – Crucial,http://Clustal.org,https://www.clustal.org/privacy-control,Online Form + Email Confirm,Medium,3,,,Must grab URL from 'view full record' first. Different email needed per listing.,Not Started,,,No,,,Not Checked,,
4,ClustrMaps,People Search,Tier 1 – Crucial,https://clustrmaps.com/,https://clustrmaps.com/bl/opt-out,Online Form,Easy,5,,,Check off all items associated with your account.,Not Started,,,No,,,Not Checked,,
5,Intelius,People Search,Tier 1 – Crucial,https://www.intelius.com/,https://suppression.peopleconnect.us/login,Online Form / Email / Phone,Medium,5,"Addresses.com, Addresssearch.com, Anywho, Classmates, DateCheck, Instant Checkmate, InstantPeopleFinder, iSearch, LookUpAnyone, Peopleconnect.us, PeopleFinder, PeopleLookup, Phonesbook, Publicrecords, Spock, Truthfinder, US Search, Zabasearch",PeopleConnect,Email support@mailer.intelius.com or call 1-888-245-1655. Owns many subsidiaries.,Not Started,,,No,,,Not Checked,,
6,Men Stopping Violence,People Search,Tier 1 – Crucial,https://www.menstoppingviolence.org/people/,https://www.menstoppingviolence.org/opt-out/,Online Form + Email Confirm,Easy,3,,,"Search for name, grab URL, submit to opt-out page.",Not Started,,,No,,,Not Checked,,
7,MyLife,People Search,Tier 1 – Crucial,https://www.mylife.com,https://www.mylife.com/privacyrequest,Online Form / Email / Phone,Hard,30,Wink.com,,Email privacy@mylife.com. May require phone call to (888) 704-1900. Shows 'reputation scores'.,Not Started,,,No,,,Not Checked,,
8,Nuwber,People Search,Tier 1 – Crucial,https://nuwber.com/,https://nuwber.com/removal/link,Online Form / Email,Medium,7,,,Use 'filter by state' to find your URL. Email support@nuwber.com if form fails.,Not Started,,,No,,,Not Checked,,
9,Radaris,People Search,Tier 1 – Crucial,https://radaris.com/,https://radaris.com/control-privacy,Online Form / Email,Hard,7,,,Account creation required. Email customer-service@radaris.com if form fails. May need multiple follow-ups.,Not Started,,,No,,,Not Checked,,
10,SmartBackgroundChecks,People Search,Tier 1 – Crucial,https://www.smartbackgroundchecks.com/,https://www.smartbackgroundchecks.com/optout,Online Form,Easy,3,PeopleFinders,,Removal likely also removes from PeopleFinders.,Not Started,,,No,,,Not Checked,,
11,Spokeo,People Search,Tier 1 – Crucial,https://www.spokeo.com/search,https://www.spokeo.com/optout,Online Form + Email Confirm,Easy,3,FreePeopleDirectory,,Scroll to 'opt out your information' section. Paid accounts may retain data.,Not Started,,,No,,,Not Checked,,
12,That's Them,People Search,Tier 1 – Crucial,https://thatsthem.com/,https://thatsthem.com/optout,Online Form,Easy,3,,,Do not click Spokeo identity theft link — it is a paid upsell.,Not Started,,,No,,,Not Checked,,
13,Whitepages,People Search,Tier 1 – Crucial,https://www.whitepages.com/,https://www.whitepages.com/suppression_requests,Online Form + Phone Verify,Medium,2,"411.com, Whitepages Premium",,Requires automated phone call with 4-digit code. Also check Whitepages Premium. Owns 411.com.,Not Started,,,No,,,Not Checked,,
14,Acxiom,Marketing Data,Tier 2 – High,https://www.aboutthedata.com,https://www.acxiom.com/optout/,Online Form / Phone,Medium,30,,,Call (877) 774-2094. Suppresses from marketing use; won't delete all data. One of world's largest.,Not Started,,,No,,,Not Checked,,
